"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128076","b0083","NP_414625.1","membrane bound cell division protein at septum containing leucine zipper motif","57977","Pseudomonas aeruginosa UCBPP-PA14","116052452","PA14_57440","WP_003094142.1","cell division protein FtsL","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128077","b0084","NP_414626.1","transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)","57977","Pseudomonas aeruginosa UCBPP-PA14","116054422","PA14_57425","WP_003094139.1","penicillin-binding protein 3","1","","PA14_35190[penicillin-binding protein 3A]","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128077","b0084","NP_414626.1","transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)","57977","Pseudomonas aeruginosa UCBPP-PA14","116050219","PA14_35190","WP_003110751.1","penicillin-binding protein 3A","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128078","b0085","NP_414627.1","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052451","PA14_57410","WP_003094133.1","UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128079","b0086","NP_414628.1","UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052450","PA14_57390","WP_003094130.1","UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128080","b0087","NP_414629.1","phospho-N-acetylmuramoyl-pentapeptide transferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052449","PA14_57380","WP_003094129.1","phospho-N-acetylmuramoyl-pentapeptide- transferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128081","b0088","NP_414630.1","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052448","PA14_57370","WP_003141276.1","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128082","b0089","NP_414631.1","integral membrane protein involved in stabilizing FstZ ring during cell division","57977","Pseudomonas aeruginosa UCBPP-PA14","116052447","PA14_57360","WP_003094125.1","cell division protein FtsW","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128083","b0090","NP_414632.1","N-acetylglucosaminyl transferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052446","PA14_57340","WP_003103107.1","undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128084","b0091","NP_414633.1","UDP-N-acetylmuramate:L-alanine ligase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052445","PA14_57330","WP_003094121.1","UDP-N-acetylmuramate--L-alanine ligase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128085","b0092","NP_414634.1","D-alanine:D-alanine ligase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052444","PA14_57320","WP_003141273.1","D-alanine--D-alanine ligase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128086","b0093","NP_414635.1","Divisome assembly protein, membrane anchored protein involved in growth of wall at septum","57977","Pseudomonas aeruginosa UCBPP-PA14","116052443","PA14_57300","WP_003094118.1","cell division protein FtsQ","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128087","b0094","NP_414636.1","ATP-binding cell division protein involved in recruitment of FtsK to Z ring","57977","Pseudomonas aeruginosa UCBPP-PA14","116052442","PA14_57290","WP_003094115.1","cell division protein FtsA","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128088","b0095","NP_414637.1","GTP-binding tubulin-like cell division protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116054417","PA14_57275","WP_011666751.1","cell division protein FtsZ","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128089","b0096","NP_414638.1","UDP-3-O-acyl N-acetylglucosamine deacetylase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052441","PA14_57260","WP_003141270.1","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128091","b0098","NP_414640.1","preprotein translocase subunit, ATPase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052438","PA14_57220","WP_003141268.1","preprotein translocase subunit SecA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128092","b0099","NP_414641.1","nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP","57977","Pseudomonas aeruginosa UCBPP-PA14","116052435","PA14_57190","WP_003110158.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128094","b0101","NP_414643.1","DNA gyrase inhibitor","57977","Pseudomonas aeruginosa UCBPP-PA14","116052562","PA14_58790","WP_003094656.1","zinc-binding protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128096","b0103","NP_414645.1","dephospho-CoA kinase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052561","PA14_58780","WP_003094654.1","dephospho-CoA kinase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128102","b0109","NP_414651.1","quinolinate phosphoribosyltransferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052554","PA14_58700","WP_003141348.1","nicotinate-nucleotide pyrophosphorylase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128103","b0110","NP_414652.1","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052552","PA14_58670","WP_003112844.1","N-acetyl-anhydromuranmyl-L-alanine amidase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128105","b0112","NP_414654.1","aromatic amino acid transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116048790","PA14_53050","WP_003085884.1","aromatic amino acid transport protein AroP2","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128105","b0112","NP_414654.1","aromatic amino acid transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116051002","PA14_25270","WP_003091187.1","aromatic amino acid transport protein AroP1","1","","PA14_53050[aromatic amino acid transport protein AroP2]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128106","b0113","NP_414655.1","DNA-binding transcriptional dual regulator","57977","Pseudomonas aeruginosa UCBPP-PA14","116052916","PA14_63070","WP_003095221.1","GntR family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128107","b0114","NP_414656.1","pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding","57977","Pseudomonas aeruginosa UCBPP-PA14","116053163","PA14_66290","WP_003114556.1","pyruvate dehydrogenase subunit E1","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128108","b0115","NP_414657.1","pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2","57977","Pseudomonas aeruginosa UCBPP-PA14","116053164","PA14_66310","WP_003125595.1","dihydrolipoamide acetyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128109","b0116","NP_414658.1","lipoamide dehydrogenase, E3 component is part of three enzyme complexes","57977","Pseudomonas aeruginosa UCBPP-PA14","116049532","PA14_43970","WP_003087422.1","dihydrolipoamide dehydrogenase","1","","PA14_63850[dihydrolipoamide dehydrogenase]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128109","b0116","NP_414658.1","lipoamide dehydrogenase, E3 component is part of three enzyme complexes","57977","Pseudomonas aeruginosa UCBPP-PA14","116052977","PA14_63850","WP_016254379.1","dihydrolipoamide dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128111","b0118","NP_414660.1","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049735","PA14_41470","WP_003087875.1","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128113","b0120","NP_414662.1","S-adenosylmethionine decarboxylase","57977","Pseudomonas aeruginosa UCBPP-PA14","116054379","PA14_08390","WP_003085223.1","S-adenosylmethionine decarboxylase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128114","b0121","NP_414663.1","spermidine synthase (putrescine aminopropyltransferase)","57977","Pseudomonas aeruginosa UCBPP-PA14","116049637","PA14_42690","WP_003103196.1","spermidine synthase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128116","b0123","NP_414665.1","multicopper oxidase (laccase)","57977","Pseudomonas aeruginosa UCBPP-PA14","116051767","PA14_15670","WP_003137910.1","putative metallo-oxidoreductase","1","","PA14_37790[copper resistance protein A precursor]","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128116","b0123","NP_414665.1","multicopper oxidase (laccase)","57977","Pseudomonas aeruginosa UCBPP-PA14","116050014","PA14_37790","WP_003139647.1","copper resistance protein A precursor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128117","b0124","NP_414666.1","glucose dehydrogenase","57977","Pseudomonas aeruginosa UCBPP-PA14","116050237","PA14_34970","WP_003131774.1","glucose dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128119","b0126","NP_414668.1","carbonic anhydrase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052821","PA14_61860","WP_003095021.1","putative carbonic anhydrase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128120","b0127","NP_414669.1","predicted transporter subunit: ATP-binding component of ABC superfamily","57977","Pseudomonas aeruginosa UCBPP-PA14","116050812","PA14_27770","WP_003090885.1","ABC transporter ATP-binding protein","","","","SSD"
